Date,Document ID
08/05/2019,BBLS DD X1QOE2CAG000N
07/25/2019,BBLS DD X27VG5D0000N
07/25/2019,BBLS DD X1A57LE80000N
07/23/2019,BBLS DD XCUUK3DG000N
07/16/2019,BBLS DD X1Q61JCL0000N
07/08/2019,BBLS DD X1I3PR79G000N
07/02/2019,BBLS DD X1EORQ010000N
07/01/2019,BBLS DD X1RRL85S0000N
06/30/2019,BBLS DD XFUU1LAG000N
06/27/2019,BBLS DD X1AFB1T1G000N
06/27/2019,BBLS DD XVG862TG000N
06/27/2019,BBLS DD X1JO45UT0000N
06/26/2019,BBLS DD X3HHKDMG000N
06/24/2019,BBLS DD XU0F36N0000N
06/23/2019,BBLS DD XB7I9IH0000N
06/20/2019,BBLS DD X15GAS9D0000N
06/19/2019,BBLS DD XKUCHBKG000N
06/12/2019,BBLS DD X1P6SJPH0000N
06/09/2019,BBLS DD X1IMOI4OG000N
06/04/2019,BBLS DD X1LFEEO7G000N
05/23/2019,BBLS DD X1EPA653G000N
05/23/2019,BBLS DD X1GI8QD00000N
05/15/2019,BBLS DD XOUUCTOG000N
05/12/2019,BBLS DD X1KO4PPMG000N
05/12/2019,BBLS DD X1F1LJ6EG000N
05/07/2019,BBLS DD XDE3TV30000N
05/04/2019,BBLS DD X7I7Q4JG000N
05/02/2019,BBLS DD XQHTUBAG000N
04/29/2019,BBLS DD X1B8G0680000N
04/22/2019,BBLS DD X1ALJ0JL0000N
04/18/2019,BBLS DD X1JKO60PG000N
04/07/2019,BBLS DD X6DR9HHG000N
03/30/2019,BBLS DD XAOU3SCG000N
03/28/2019,BBLS DD XI5VDQD0000N
03/28/2019,BBLS DD XR05E0E0000N
03/24/2019,BBLS DD XGB4LHR0000N
03/17/2019,BBLS DD X1NFO23N0000N
03/11/2019,BBLS DD XR6BS4LG000N
03/10/2019,BBLS DD XB2PE7R0000N
03/03/2019,BBLS DD X19QQF6KG000N
03/03/2019,BBLS DD XTL6ST1G000N
03/03/2019,BBLS DD XOGC196G000N
02/21/2019,BBLS DD XTL8PJM0000N
02/19/2019,BBLS DD X1EQNC790000N
02/14/2019,BBLS DD X1AVG31OG000N
02/13/2019,BBLS DD X14LP2UJG000N
02/07/2019,BBLS DD XEJL5O40000N
02/06/2019,BBLS DD XGSB5BIG000N
02/05/2019,BBLS DD X12G42CRG000N
01/31/2019,BBLS DD XOKJBF40000N
01/31/2019,BBLS DD XAH2OKUG000N
01/29/2019,BBLS DD XALI75R0000N
01/29/2019,BBLS DD XF8TE530000N
01/23/2019,BBLS DD XMRNNH70000N
01/17/2019,BBLS DD X1G3JFDO0000N
01/16/2019,BBLS DD X3JQ5NEG000N
01/10/2019,BBLS DD XNQBAEH0000N
01/06/2019,BBLS DD X1AL17GJ0000N
12/26/2018,BBLS DD XVM967KG000N
12/20/2018,BBLS DD X1LE9KPRG000N
12/19/2018,BBLS DD X1811VCAG000N
11/27/2018,BBLS DD X1RNLM010000N
11/26/2018,BBLS DD X1FL4S9IG000N
11/26/2018,BBLS DD XH334J1G000N
11/18/2018,BBLS DD X1GVN8D0G000N
11/18/2018,BBLS DD X1I1PGN0G000N
11/12/2018,BBLS DD XRJ083OG000N
11/08/2018,BBLS DD X1PLG2Q9G000N
11/05/2018,BBLS DD X1VTG29Q0000N
10/22/2018,BBLS DD X18MVUV0000N
10/22/2018,BBLS DD X1BFSEAS0000N
10/21/2018,BBLS DD XGVP7RHG000N
10/15/2018,BBLS DD X1I78DVDG000N
10/14/2018,BBLS DD X6PO4CE0000N
10/14/2018,BBLS DD X1UF01C10000N
10/04/2018,BBLS DD X1VPUNN0000N
09/30/2018,BBLS DD X1QIL79D0000N
09/25/2018,BBLS DD X1AO1UBDG000N
09/24/2018,BBLS DD X446R3IG000N
09/16/2018,BBLS DD X1LFNCEPG000N
09/04/2018,BBLS DD X17B68C3G000N
09/04/2018,BBLS DD X85TMM4G000N
09/04/2018,BBLS DD X1NMCMG0000N
09/04/2018,BBLS DD X1VPNFBHG000N
09/03/2018,BBLS DD X524KAL0000N
09/02/2018,BBLS DD XR5EUMU0000N
08/27/2018,BBLS DD XV3MQN60000N
08/26/2018,BBLS DD XI1T0M70000N
08/26/2018,BBLS DD XMOG0Q60000N
08/26/2018,BBLS DD XAKQ3GEG000N
08/26/2018,BBLS DD X190LU8O0000N
08/26/2018,BBLS DD XLRH738G000N
08/22/2018,BBLS DD XMF16R10000N
08/13/2018,BBLS DD X1GG0HFT0000N
08/09/2018,BBLS DD X1N2E2NP0000N
