Date,Document ID
03/22/2021,BBLS DD XDH8IPE01
03/18/2021,BBLS DD X496C438000000
03/18/2021,BBLS DD X4M9HDPK000000
03/18/2021,BBLS DD X8B0L4VK000000
03/17/2021,BBLS DD XVJ1DVO81
03/17/2021,BBLS DD X8G6I5CS000000
03/16/2021,BBLS DD XICVCSU0000N
03/16/2021,BBLS DD X1RUMR0CG000N
03/15/2021,BBLS DD XO4RHRC81
03/14/2021,BBLS DD XCPPA7US000000
03/14/2021,BBLS DD X2E3KJ2O000000
03/14/2021,BBLS DD X3HS06FC000000
03/14/2021,BBLS DD XDGCKQB81
03/11/2021,BBLS DD XFOGF9L4000000
03/11/2021,BBLS DD X6V1SOC000000
03/11/2021,BBLS DD X2PQQJO81
03/08/2021,BBLS DD X3FPU9A8000000
03/08/2021,BBLS DD XD3J0QCG1
03/04/2021,BBLS DD X2SSVHM2GG2008GIPDGG403011D
03/02/2021,BBLS DD XBL3KT78000000
03/01/2021,BBLS DD XAM4TCB0000000
02/28/2021,BBLS DD X95GB608000000
02/28/2021,BBLS DD X96FC9KO000000
02/28/2021,BBLS DD XBQKSNL0000000
02/28/2021,BBLS DD XBQVAQ44000000
02/28/2021,BBLS DD XF0968TS000000
02/28/2021,BBLS DD X12EP5C8G000N
02/28/2021,BBLS DD XCHNRV981
02/28/2021,BBLS DD X42BJR14000000
02/28/2021,BBLS DD X1LTN9GK0000N
02/28/2021,BBLS DD X5A49TSS000000
02/28/2021,BBLS DD X62QGK0O000000
02/24/2021,BBLS DD XEPJBC3G000000
02/24/2021,BBLS DD X4SJTL5S000000
02/23/2021,BBLS DD X1Q6OAUFD582
02/22/2021,BBLS DD X97CPAS4000000
02/18/2021,BBLS DD XB0HV5D4000000
02/18/2021,BBLS DD XCVLFMFC000000
02/18/2021,BBLS DD X4ED2LMK000000
02/18/2021,BBLS DD X5KMK4KC000000
02/16/2021,BBLS DD X3J04HJK000000
02/15/2021,BBLS DD XCTB34TC000000
02/15/2021,BBLS DD XE6SF8L0000N
02/11/2021,BBLS DD XEV5VBGC000000
02/11/2021,BBLS DD X7OVVGBG000000
02/10/2021,BBLS DD XBJRR4E8000000
02/10/2021,BBLS DD XDF5UKCG000000
02/09/2021,BBLS DD X1Q6OARLM082
02/09/2021,BBLS DD X1Q6OARLM0O2
02/09/2021,BBLS DD X1Q6OARLM182
02/08/2021,BBLS DD XAG0PLGG1
02/08/2021,BBLS DD X3AF3VO0000000
02/08/2021,BBLS DD X4GFK8JS000000
02/04/2021,BBLS DD XUA4F7D01
02/03/2021,BBLS DD XCV5OKUO000000
02/03/2021,BBLS DD X3HEEFOS24832000PDGG40200PD
02/02/2021,BBLS DD XG5GLLE0000N
02/02/2021,BBLS DD X2G63R3S000000
02/01/2021,BBLS DD XBGLBNVO000000
01/31/2021,BBLS DD X97FTFFG000000
01/31/2021,BBLS DD XE5TVU3K000000
01/31/2021,BBLS DD X2P9A0BG000000
01/31/2021,BBLS DD X36A81I0000000
01/30/2021,BBLS DD XCH6GL9K000000
01/27/2021,BBLS DD XAAQ0AMO000000
01/27/2021,BBLS DD XB9IN5P0000000
01/27/2021,BBLS DD X1ON1UPG000000
01/27/2021,BBLS DD X4M7O6MO000000
01/27/2021,BBLS DD XN3FK4C01
01/26/2021,BBLS DD XCIGAKMK000000
01/26/2021,BBLS DD XB4FLPJO1
01/25/2021,BBLS DD X9FO9LAO000000
01/25/2021,BBLS DD XCA7NMD4000000
01/25/2021,BBLS DD X628ME0K000000
01/25/2021,BBLS DD X6PHC31K000000
01/21/2021,BBLS DD XCEU8QN0000000
01/21/2021,BBLS DD X19IQ1MK000000
01/18/2021,BBLS DD X1NUIV7G000000
01/18/2021,BBLS DD X4VDEQ3K000000
01/13/2021,BBLS DD XDPTCH8K000000
01/13/2021,BBLS DD XB5QPD781
01/12/2021,BBLS DD XA95S3M0000000
01/12/2021,BBLS DD XABTE8H8000000
01/12/2021,BBLS DD XBRF4OE8000000
01/12/2021,BBLS DD X169IF1K000000
01/12/2021,BBLS DD XCE6JRTK000000
01/12/2021,BBLS DD XDD1JHLG000000
01/12/2021,BBLS DD XE74Q470000000
01/12/2021,BBLS DD XE7A1G8G000000
01/12/2021,BBLS DD X1F02S40000000
01/12/2021,BBLS DD XEN3H9FG000000
01/12/2021,BBLS DD XF814Q5K000000
