date,Bitcoin_unscaled,Bitcoin_monthly,isPartial,scale,Bitcoin
2020-07-13,43,10.0,,0.1,4.3
2020-07-14,52,10.0,,0.1,5.2
2020-07-15,59,10.0,,0.1,5.9
2020-07-16,67,10.0,,0.1,6.7
2020-07-17,51,10.0,,0.1,5.1000000000000005
2020-07-18,44,10.0,,0.1,4.4
2020-07-19,40,10.0,,0.1,4.0
2020-07-20,42,10.0,,0.1,4.2
2020-07-21,45,10.0,,0.1,4.5
2020-07-22,38,10.0,,0.1,3.8000000000000003
2020-07-23,54,10.0,,0.1,5.4
2020-07-24,49,10.0,,0.1,4.9
2020-07-25,47,10.0,,0.1,4.7
2020-07-26,59,10.0,,0.1,5.9
2020-07-27,90,10.0,,0.1,9.0
2020-07-28,100,10.0,,0.1,10.0
2020-07-29,69,10.0,,0.1,6.9
2020-07-30,64,10.0,,0.1,6.4
2020-07-31,63,10.0,,0.1,6.300000000000001
2020-08-01,94,11.0,False,0.11,10.34
2020-08-02,100,11.0,,0.11,11.0
2020-08-03,80,11.0,,0.11,8.8
2020-08-04,72,11.0,,0.11,7.92
2020-08-05,83,11.0,,0.11,9.13
2020-08-06,76,11.0,,0.11,8.36
2020-08-07,76,11.0,,0.11,8.36
2020-08-08,73,11.0,,0.11,8.03
2020-08-09,66,11.0,,0.11,7.26
2020-08-10,76,11.0,,0.11,8.36
2020-08-11,77,11.0,,0.11,8.47
2020-08-12,62,11.0,,0.11,6.82
2020-08-13,74,11.0,,0.11,8.14
2020-08-14,70,11.0,,0.11,7.7
2020-08-15,75,11.0,,0.11,8.25
2020-08-16,66,11.0,,0.11,7.26
2020-08-17,77,11.0,,0.11,8.47
2020-08-18,80,11.0,,0.11,8.8
2020-08-19,74,11.0,,0.11,8.14
2020-08-20,65,11.0,,0.11,7.15
2020-08-21,61,11.0,,0.11,6.71
2020-08-22,55,11.0,,0.11,6.05
2020-08-23,43,11.0,,0.11,4.73
2020-08-24,55,11.0,,0.11,6.05
2020-08-25,56,11.0,,0.11,6.16
2020-08-26,57,11.0,,0.11,6.2700000000000005
2020-08-27,48,11.0,,0.11,5.28
2020-08-28,53,11.0,,0.11,5.83
2020-08-29,49,11.0,,0.11,5.39
2020-08-30,43,11.0,,0.11,4.73
2020-08-31,52,11.0,,0.11,5.72
2020-09-01,92,8.0,False,0.08,7.36
2020-09-02,98,8.0,,0.08,7.84
2020-09-03,97,8.0,,0.08,7.76
2020-09-04,94,8.0,,0.08,7.5200000000000005
2020-09-05,100,8.0,,0.08,8.0
2020-09-06,89,8.0,,0.08,7.12
2020-09-07,81,8.0,,0.08,6.48
2020-09-08,87,8.0,,0.08,6.96
2020-09-09,77,8.0,,0.08,6.16
2020-09-10,74,8.0,,0.08,5.92
2020-09-11,68,8.0,,0.08,5.44
2020-09-12,74,8.0,,0.08,5.92
2020-09-13,74,8.0,,0.08,5.92
2020-09-14,74,8.0,,0.08,5.92
2020-09-15,73,8.0,,0.08,5.84
2020-09-16,80,8.0,,0.08,6.4
2020-09-17,70,8.0,,0.08,5.6000000000000005
2020-09-18,65,8.0,,0.08,5.2
2020-09-19,77,8.0,,0.08,6.16
2020-09-20,72,8.0,,0.08,5.76
2020-09-21,73,8.0,,0.08,5.84
2020-09-22,63,8.0,,0.08,5.04
2020-09-23,62,8.0,,0.08,4.96
2020-09-24,65,8.0,,0.08,5.2
2020-09-25,67,8.0,,0.08,5.36
2020-09-26,65,8.0,,0.08,5.2
2020-09-27,56,8.0,,0.08,4.48
2020-09-28,72,8.0,,0.08,5.76
2020-09-29,61,8.0,,0.08,4.88
2020-09-30,60,8.0,,0.08,4.8
2020-10-01,46,10.0,False,0.1,4.6000000000000005
2020-10-02,45,10.0,,0.1,4.5
2020-10-03,38,10.0,,0.1,3.8000000000000003
2020-10-04,31,10.0,,0.1,3.1
2020-10-05,38,10.0,,0.1,3.8000000000000003
2020-10-06,38,10.0,,0.1,3.8000000000000003
2020-10-07,44,10.0,,0.1,4.4
2020-10-08,54,10.0,,0.1,5.4
2020-10-09,50,10.0,,0.1,5.0
2020-10-10,56,10.0,,0.1,5.6000000000000005
2020-10-11,45,10.0,,0.1,4.5
2020-10-12,51,10.0,,0.1,5.1000000000000005
