date,bitcoin buy_unscaled,bitcoin buy_monthly,isPartial,scale,bitcoin buy
2019-01-04,46,5.0,,0.05,2.3000000000000003
2019-01-05,51,5.0,,0.05,2.5500000000000003
2019-01-06,25,5.0,,0.05,1.25
2019-01-07,43,5.0,,0.05,2.15
2019-01-08,50,5.0,,0.05,2.5
2019-01-09,43,5.0,,0.05,2.15
2019-01-10,70,5.0,,0.05,3.5
2019-01-11,44,5.0,,0.05,2.2
2019-01-12,100,5.0,,0.05,5.0
2019-01-13,82,5.0,,0.05,4.1000000000000005
2019-01-14,49,5.0,,0.05,2.45
2019-01-15,71,5.0,,0.05,3.5500000000000003
2019-01-16,49,5.0,,0.05,2.45
2019-01-17,55,5.0,,0.05,2.75
2019-01-18,72,5.0,,0.05,3.6
2019-01-19,82,5.0,,0.05,4.1000000000000005
2019-01-20,71,5.0,,0.05,3.5500000000000003
2019-01-21,72,5.0,,0.05,3.6
2019-01-22,34,5.0,,0.05,1.7000000000000002
2019-01-23,42,5.0,,0.05,2.1
2019-01-24,62,5.0,,0.05,3.1
2019-01-25,36,5.0,,0.05,1.8
2019-01-26,42,5.0,,0.05,2.1
2019-01-27,84,5.0,,0.05,4.2
2019-01-28,28,5.0,,0.05,1.4000000000000001
2019-01-29,14,5.0,,0.05,0.7000000000000001
2019-01-30,48,5.0,,0.05,2.4000000000000004
2019-01-31,77,5.0,,0.05,3.85
2019-02-01,34,5.0,False,0.05,1.7000000000000002
2019-02-02,70,5.0,,0.05,3.5
2019-02-03,69,5.0,,0.05,3.45
2019-02-04,40,5.0,,0.05,2.0
2019-02-05,85,5.0,,0.05,4.25
2019-02-06,49,5.0,,0.05,2.45
2019-02-07,57,5.0,,0.05,2.85
2019-02-08,76,5.0,,0.05,3.8000000000000003
2019-02-09,100,5.0,,0.05,5.0
2019-02-10,29,5.0,,0.05,1.4500000000000002
2019-02-11,56,5.0,,0.05,2.8000000000000003
2019-02-12,41,5.0,,0.05,2.0500000000000003
2019-02-13,42,5.0,,0.05,2.1
2019-02-14,51,5.0,,0.05,2.5500000000000003
2019-02-15,44,5.0,,0.05,2.2
2019-02-16,40,5.0,,0.05,2.0
2019-02-17,71,5.0,,0.05,3.5500000000000003
2019-02-18,53,5.0,,0.05,2.6500000000000004
2019-02-19,75,5.0,,0.05,3.75
2019-02-20,59,5.0,,0.05,2.95
2019-02-21,59,5.0,,0.05,2.95
2019-02-22,60,5.0,,0.05,3.0
2019-02-23,78,5.0,,0.05,3.9000000000000004
2019-02-24,50,5.0,,0.05,2.5
2019-02-25,56,5.0,,0.05,2.8000000000000003
2019-02-26,84,5.0,,0.05,4.2
2019-02-27,65,5.0,,0.05,3.25
2019-02-28,17,5.0,,0.05,0.8500000000000001
2019-03-01,66,5.0,False,0.05,3.3000000000000003
2019-03-02,61,5.0,,0.05,3.0500000000000003
2019-03-03,60,5.0,,0.05,3.0
2019-03-04,87,5.0,,0.05,4.3500000000000005
2019-03-05,66,5.0,,0.05,3.3000000000000003
2019-03-06,29,5.0,,0.05,1.4500000000000002
2019-03-07,44,5.0,,0.05,2.2
2019-03-08,53,5.0,,0.05,2.6500000000000004
2019-03-09,36,5.0,,0.05,1.8
2019-03-10,18,5.0,,0.05,0.9
2019-03-11,29,5.0,,0.05,1.4500000000000002
2019-03-12,44,5.0,,0.05,2.2
2019-03-13,37,5.0,,0.05,1.85
2019-03-14,37,5.0,,0.05,1.85
2019-03-15,60,5.0,,0.05,3.0
2019-03-16,97,5.0,,0.05,4.8500000000000005
2019-03-17,73,5.0,,0.05,3.6500000000000004
2019-03-18,39,5.0,,0.05,1.9500000000000002
2019-03-19,29,5.0,,0.05,1.4500000000000002
2019-03-20,46,5.0,,0.05,2.3000000000000003
2019-03-21,67,5.0,,0.05,3.35
2019-03-22,85,5.0,,0.05,4.25
2019-03-23,44,5.0,,0.05,2.2
