date,bitcoin sell_unscaled,bitcoin sell_monthly,isPartial,scale,bitcoin sell
2014-05-07,0,3.0,,0.03,0.0
2014-05-08,49,3.0,,0.03,1.47
2014-05-09,0,3.0,,0.03,0.0
2014-05-10,0,3.0,,0.03,0.0
2014-05-11,64,3.0,,0.03,1.92
2014-05-12,0,3.0,,0.03,0.0
2014-05-13,0,3.0,,0.03,0.0
2014-05-14,0,3.0,,0.03,0.0
2014-05-15,0,3.0,,0.03,0.0
2014-05-16,50,3.0,,0.03,1.5
2014-05-17,0,3.0,,0.03,0.0
2014-05-18,0,3.0,,0.03,0.0
2014-05-19,0,3.0,,0.03,0.0
2014-05-20,100,3.0,,0.03,3.0
2014-05-21,0,3.0,,0.03,0.0
2014-05-22,0,3.0,,0.03,0.0
2014-05-23,0,3.0,,0.03,0.0
2014-05-24,0,3.0,,0.03,0.0
2014-05-25,0,3.0,,0.03,0.0
2014-05-26,0,3.0,,0.03,0.0
2014-05-27,0,3.0,,0.03,0.0
2014-05-28,0,3.0,,0.03,0.0
2014-05-29,0,3.0,,0.03,0.0
2014-05-30,0,3.0,,0.03,0.0
2014-05-31,0,3.0,,0.03,0.0
2014-06-01,0,2.0,False,0.02,0.0
2014-06-02,0,2.0,,0.02,0.0
2014-06-03,49,2.0,,0.02,0.98
2014-06-04,0,2.0,,0.02,0.0
2014-06-05,50,2.0,,0.02,1.0
2014-06-06,0,2.0,,0.02,0.0
2014-06-07,0,2.0,,0.02,0.0
2014-06-08,0,2.0,,0.02,0.0
2014-06-09,50,2.0,,0.02,1.0
2014-06-10,0,2.0,,0.02,0.0
2014-06-11,0,2.0,,0.02,0.0
2014-06-12,0,2.0,,0.02,0.0
2014-06-13,52,2.0,,0.02,1.04
2014-06-14,0,2.0,,0.02,0.0
2014-06-15,0,2.0,,0.02,0.0
2014-06-16,51,2.0,,0.02,1.02
2014-06-17,49,2.0,,0.02,0.98
2014-06-18,0,2.0,,0.02,0.0
2014-06-19,52,2.0,,0.02,1.04
2014-06-20,0,2.0,,0.02,0.0
2014-06-21,0,2.0,,0.02,0.0
2014-06-22,0,2.0,,0.02,0.0
2014-06-23,100,2.0,,0.02,2.0
2014-06-24,0,2.0,,0.02,0.0
2014-06-25,0,2.0,,0.02,0.0
2014-06-26,51,2.0,,0.02,1.02
2014-06-27,0,2.0,,0.02,0.0
2014-06-28,0,2.0,,0.02,0.0
2014-06-29,0,2.0,,0.02,0.0
2014-06-30,0,2.0,,0.02,0.0
2014-07-01,0,3.0,False,0.03,0.0
2014-07-02,51,3.0,,0.03,1.53
2014-07-03,0,3.0,,0.03,0.0
2014-07-04,0,3.0,,0.03,0.0
2014-07-05,0,3.0,,0.03,0.0
2014-07-06,0,3.0,,0.03,0.0
2014-07-07,0,3.0,,0.03,0.0
2014-07-08,48,3.0,,0.03,1.44
2014-07-09,0,3.0,,0.03,0.0
2014-07-10,50,3.0,,0.03,1.5
2014-07-11,0,3.0,,0.03,0.0
2014-07-12,0,3.0,,0.03,0.0
2014-07-13,0,3.0,,0.03,0.0
2014-07-14,0,3.0,,0.03,0.0
2014-07-15,0,3.0,,0.03,0.0
2014-07-16,0,3.0,,0.03,0.0
2014-07-17,100,3.0,,0.03,3.0
2014-07-18,0,3.0,,0.03,0.0
2014-07-19,62,3.0,,0.03,1.8599999999999999
2014-07-20,0,3.0,,0.03,0.0
2014-07-21,0,3.0,,0.03,0.0
2014-07-22,0,3.0,,0.03,0.0
2014-07-23,0,3.0,,0.03,0.0
2014-07-24,0,3.0,,0.03,0.0
2014-07-25,52,3.0,,0.03,1.56
2014-07-26,0,3.0,,0.03,0.0
2014-07-27,0,3.0,,0.03,0.0
2014-07-28,0,3.0,,0.03,0.0
