Date,Document ID
06/12/2017,BBLS DD X8EHFUQ0000000
06/07/2017,BBLS DD XF06U7H8000000
06/05/2017,BBLS DD XDO78G3S000000
05/17/2017,BBLS DD XB3J3LIC000000
05/17/2017,BBLS DD XENATB4C000000
05/15/2017,BBLS DD X17724U0000000
05/15/2017,BBLS DD XJQUN2HC
05/02/2017,BBLS DD X8C6E4DC000000
04/03/2017,BBLS DD X93M3K18000000
03/21/2017,BBLS DD XC6J27NK000000
03/21/2017,BBLS DD X1UCB4K8000000
03/20/2017,BBLS DD XBJS3S9K000000
03/20/2017,BBLS DD X3O910BG000000
03/09/2017,BBLS DD X1M42080220D
02/27/2017,BBLS DD XKOCG7S000000
02/14/2017,BBLS DD XJ1L1VC000000
02/06/2017,BBLS DD XDH97438000000
01/23/2017,BBLS DD X4AA4UJ8000000
01/17/2017,BBLS DD X9NHKK64000000
01/11/2017,BBLS DD XC72TVVC000000
10/04/2016,BBLS DD XAAUD20K000000
09/11/2016,BBLS DD XAAJ0QHC
06/26/2016,BBLS DD X9KGJL1C
06/19/2016,BBLS DD XDOEULD4000000
06/17/2016,BBLS DD X498V1RG000000
06/14/2016,BBLS DD XAKOFALK000000
06/13/2016,BBLS DD X5IP1QC000000
06/12/2016,BBLS DD X1AVD7FS000000
06/08/2016,BBLS DD XA7A9R9C
05/11/2016,BBLS DD XC93HA1C
05/11/2016,BBLS DD XC93N99C
03/15/2016,BBLS DD X9MD4K9C
02/24/2016,BBLS DD XBGLH9PC
02/10/2016,BBLS DD XAUQ6T1C
10/12/2015,BBLS DD X1M41GOCI20D
10/05/2015,BBLS DD X95C9GRC000000
10/04/2015,BBLS DD X7HP1APC
09/29/2015,BBLS DD XSMFVAC000000
09/29/2015,BBLS DD X4AM1EGO000000
09/08/2015,BBLS DD XAKH1VHC
09/04/2015,BBLS DD X3KATCAK000000
09/02/2015,BBLS DD X9G1URPC
09/02/2015,BBLS DD X9KRAP1C
08/31/2015,BBLS DD X2QBT184000000
07/09/2015,BBLS DD XB88K25S000000
06/23/2015,BBLS DD X7AN8RSG000000
06/01/2015,BBLS DD XCP7GRDO000000
04/28/2015,BBLS DD X7FUVSK8000000
04/19/2015,BBLS DD X61FJV8C000000
03/23/2015,BBLS DD X27G151C
03/16/2015,BBLS DD XA460SPC
03/16/2015,BBLS DD X80FGUPC
03/09/2015,BBLS DD X964NP1C
03/03/2015,BBLS DD XATHM9LO000000
02/26/2015,BBLS DD X7PFHTCC000000
02/23/2015,BBLS DD X2HPACDS000000
02/12/2015,BBLS DD X9KP9N1C
02/11/2015,BBLS DD X1QU431C
02/09/2015,BBLS DD XA75M4AG000000
01/22/2015,BBLS DD X2V61170000000
01/07/2015,BBLS DD X5VGM2TO000000
01/01/2015,BBLS DD X7208N0G0000OD
12/31/2014,BBLS DD X269FU1C
12/21/2014,BBLS DD X3IMMIKS000000
12/11/2014,BBLS DD XEFTA9T4000000
11/30/2014,BBLS DD X7208MI40000OD
06/10/2014,BBLS DD X2L57480000000
05/14/2014,BBLS DD X1QFESDK000000
04/07/2014,BBLS DD X9KCV2JG000000
04/01/2014,BBLS DD X8U0B102G060GD
04/01/2014,BBLS DD X4SOB5S4000000
03/31/2014,BBLS DD XFI0AO02G060GD
03/30/2014,BBLS DD X3U0AE02G060GD
02/26/2014,BBLS DD X5J017PC
02/25/2014,BBLS DD X308707O000000
01/15/2014,BBLS DD XFMF5F68000000
11/18/2013,BBLS DD X92E1KRS000000
11/17/2013,BBLS DD XCI12902FG60GD
07/16/2013,BBLS DD X6EUJ9O0000000
